created_at,text_clean,text_preprocessed,polarity_score,polarity
Mon Feb 03 13:43:25 +0000 2025,makan gratis mati gratis  foto seorang siswi memegang poster di aksi hari ini  februari  oleh aliansi pelajar seyahukimo di dekai yahukimo,"['makan', 'gratis', 'mati', 'gratis', 'foto', 'siswi', 'pegang', 'poster', 'aksi', 'februari', 'aliansi', 'ajar', 'seyahukimo', 'dekai', 'yahukimo']",-3,negative
Wed Feb 05 15:17:39 +0000 2025,kalo sampe gaji  dan  kena imbas buat makan gratis gue gak ikhlas lahir batin 😭  yang katanya mau buat ngasih makan anak sekolah biar tercipta indonesia emas  gue tetep gak ikhlas   itu hak pegawai kita dituntut tetep kerja tapi hak kita dihilangin 😭,"['kalo', 'sampe', 'gaji', 'kena', 'imbas', 'makan', 'gratis', 'gak', 'ikhlas', 'lahir', 'batin', '', 'ngasih', 'makan', 'anak', 'sekolah', 'biar', 'cipta', 'indonesia', 'emas', 'tetep', 'gak', 'ikhlas', 'hak', 'pegawai', 'tuntut', 'tetep', 'kerja', 'hak', 'dihilangin', '']",8,positive
Thu Feb 06 09:50:18 +0000 2025,sewa buzzer dia oke gas sewa animator dia malas  perbandingan antara animasi bikinan ai anak indonesia el gemoy  yg terluculucu pakai musik propaganda an bagi makan siang gratis yg gak gratis amat dan animasi anak abah polisi labrador yg jujur ngeroast el gemoy,"['sewa', 'buzzer', 'oke', 'gas', 'sewa', 'animator', 'malas', 'banding', 'animasi', 'bikin', 'ai', 'anak', 'indonesia', 'el', 'gemoy', 'terluculucu', 'pakai', 'musik', 'propaganda', 'an', 'makan', 'siang', 'gratis', 'gak', 'gratis', 'animasi', 'anak', 'abah', 'polisi', 'labrador', 'jujur', 'ngeroast', 'el', 'gemoy']",-4,negative
Fri Feb 07 06:55:46 +0000 2025,banyak yang ragu tapi pemerintah sudah punya strategi konkret dari investasi asing hilirisasi dukungan umkm hingga makan bergizi gratis—semua untuk mendorong pertumbuhan ekonomi d 💪🔥,"['ragu', 'perintah', 'strategi', 'konkret', 'investasi', 'asing', 'hilir', 'dukung', 'umkm', 'makan', 'gizi', 'gratis semua', 'dorong', 'tumbuh', 'ekonomi', 'd', '']",8,positive
Sat Feb 08 04:55:12 +0000 2025,💚 bukannya lebih bahaya ya kalau nanti terjadi gempa atau tsunami gak terdeteksi gimana  prabowo yang potong anggaran bmkg kalian pasti tahu anggaran dipotong buat apa yap benar buat progam makan bergizi gratis 😊,"['', 'bahaya', 'ya', 'gempa', 'tsunami', 'gak', 'deteksi', 'gimana', 'prabowo', 'potong', 'anggar', 'bmkg', 'anggar', 'potong', 'yap', 'progam', 'makan', 'gizi', 'gratis', '']",5,positive
Tue Feb 04 08:34:38 +0000 2025,presiden prabowo subianto menegaskan komitmennya untuk terus menyempurnakan program makan bergizi gratis mbg demi meningkatkan gizi anakanak indonesia,"['presiden', 'prabowo', 'subianto', 'komitmen', 'sempurna', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'tingkat', 'gizi', 'anakanak', 'indonesia']",4,positive
Mon Feb 10 08:07:41 +0000 2025,presiden prabowo subianto mengunjungi sdn kedung jaya  bogor jawa barat untuk meninjau pelaksanaan program makan bergizi gratis mbg pada senin    presiden melihat langsung makanan yang disiapkan dan memastikan setiap anak mendapatkan asupan terbaik untuk,"['presiden', 'prabowo', 'subianto', 'unjung', 'sdn', 'kedung', 'jaya', 'bogor', 'jawa', 'barat', 'tinjau', 'laksana', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'senin', 'presiden', 'langsung', 'makan', 'anak', 'asupan']",10,positive
Mon Feb 03 12:07:57 +0000 2025,gw udah duga program makan gratis bakal ditolak mentah di papua  bro gw aja selalu diwanti oleh orang papua supaya jangan pernah terima makan minum dari aparatorang pemerintah takut diracun aktivis papua disiplin banget soal ini,"['udah', 'duga', 'program', 'makan', 'gratis', 'tolak', 'mentah', 'papua', 'diwanti', 'orang', 'papua', 'terima', 'makan', 'minum', 'aparatorang', 'perintah', 'takut', 'racun', 'aktivis', 'papua', 'disiplin', 'banget']",-2,negative
Sat Jan 18 17:33:48 +0000 2025,makan bergizi gratis tanpa membebani anggaran,"['makan', 'gizi', 'gratis', 'beban', 'anggar']",-2,negative
Mon Feb 10 11:34:20 +0000 2025,percuma makan siang gratis di sekolah kalau ujungnya anggota keluarga anak tersebut kerja atau kehidupannya jadi susah karena program yg bikin bengkak anggaran,"['makan', 'siang', 'gratis', 'sekolah', 'ujung', 'anggota', 'keluarga', 'anak', 'kerja', 'hidup', 'susah', 'program', 'bikin', 'bengkak', 'anggar']",-6,negative
Fri Feb 07 02:59:38 +0000 2025,keterlibatan umkm mitra makan bergizi gratis merupakan langkah strategis untuk meningkatkan kualitas gizi masyarakat dan mendukung pertumbuhan ekonomi selain itu umkm bisa mendapatkan modal sampai dengan rp  juta,"['libat', 'umkm', 'mitra', 'makan', 'gizi', 'gratis', 'langkah', 'strategis', 'tingkat', 'kualitas', 'gizi', 'masyarakat', 'dukung', 'tumbuh', 'ekonomi', 'umkm', 'modal', 'rp', 'juta']",12,positive
Mon Feb 10 07:37:36 +0000 2025,polri membuka rekrutmen khusus bagi personel yang memiliki keahlian di bidang pertanian gizi dan kesehatan masyarakat langkah ini bertujuan untuk memperkuat peran polri dalam mendukung program makan bergizi gratis serta mewujudkan swasembada pangan,"['polri', 'buka', 'rekrutmen', 'khusus', 'personel', 'milik', 'ahli', 'bidang', 'tani', 'gizi', 'sehat', 'masyarakat', 'langkah', 'tuju', 'kuat', 'peran', 'polri', 'dukung', 'program', 'makan', 'gizi', 'gratis', 'wujud', 'swasembada', 'pangan']",12,positive
Fri Feb 07 12:00:00 +0000 2025,program makan bergizi gratis mbg memiliki tujuan baik tetapi jika perencanaan dan implementasinya kurang tepat ada risiko kegagalan kekhawatiran muncul terkait sumber anggaran sebesar rp triliun yang berdampak pada pemangkasan  program infrastruktur,"['program', 'makan', 'gizi', 'gratis', 'mbg', 'milik', 'tuju', 'rencana', 'implementasi', 'risiko', 'gagal', 'khawatir', 'muncul', 'kait', 'sumber', 'anggar', 'rp', 'triliun', 'dampak', 'mangkas', 'program', 'infrastruktur']",-16,negative
Mon Feb 10 14:21:22 +0000 2025,pelajar papua minta hentikan makan gratis mereka menginginkan sekolah gratis ini baru bener papua punya gunung emas tapi kemiskinan dan kebodohan cukup tinggi cerdaskan papua,"['ajar', 'papua', 'henti', 'makan', 'gratis', 'sekolah', 'gratis', 'papua', 'gunung', 'emas', 'miskin', 'bodoh', 'cerdas', 'papua']",-8,negative
Fri Feb 07 06:04:48 +0000 2025,terharu sekali melihat animasi makan bergizi gratis pak prabowo 🥲❤️  sungguh mulia pengorbanannya walau dicaci dan dimaki oleh pembenci namun ia sangat peduli terhadap perkembangan anakanak indonesia 🫡🙏  animasinya gemoy banget dua jempol buat animatornya 👍👍,"['haru', 'animasi', 'makan', 'gizi', 'gratis', 'prabowo', '', 'sungguh', 'mulia', 'korban', 'caci', 'maki', 'benci', 'peduli', 'kembang', 'anakanak', 'indonesia', '', 'animasi', 'gemoy', 'banget', 'jempol', 'animatornya', '']",-1,negative
Mon Feb 10 10:26:59 +0000 2025,itu disampaikan presiden prabowo dalam sambutannya saat membuka kongres xviii muslimat nahdlatul ulama nu di jatim international expo surabaya senin   prabowo menegaskan tujuan diberlakukannya efisiensi anggaran adalah untuk memberikan makan gratis kepada,"['presiden', 'prabowo', 'sambut', 'buka', 'kongres', 'xviii', 'muslimat', 'nahdlatul', 'ulama', 'nu', 'jatim', 'international', 'expo', 'surabaya', 'senin', 'prabowo', 'tuju', 'laku', 'efisiensi', 'anggar', 'makan', 'gratis']",11,positive
Sun Feb 02 22:37:55 +0000 2025,mendes pdt yandri mengajak para kepala desa untuk bersiap membangun satuan pelayanan pemenuhan gizi sppg dalam program makan bergizi gratis mbg,"['mendes', 'pdt', 'yandri', 'ajak', 'kepala', 'desa', 'bangun', 'layan', 'penuh', 'gizi', 'sppg', 'program', 'makan', 'gizi', 'gratis', 'mbg']",1,positive
Fri Feb 07 09:57:35 +0000 2025,kolaborasi kuat antara masyarakat sektor swasta dan banyak pihak akan membawa perubahan besar untuk generasi sehat 🍽️ ayo sukseskan program makan bergizi gratis untuk anak indonesia,"['kolaborasi', 'kuat', 'masyarakat', 'sektor', 'swasta', 'bawa', 'ubah', 'generasi', 'sehat', '', 'ayo', 'sukses', 'program', 'makan', 'gizi', 'gratis', 'anak', 'indonesia']",4,positive
Mon Feb 10 07:47:32 +0000 2025,polri membuka rekrutmen khusus keahlian di bidang pertanian gizi dan kesehatan masyarakat untuk memperkuat peran polri dlm mendukung program makan bergizi gratis serta mewujudkan swasembada pangan   dengan maksimal berikan pelayanan kepada masyarakat,"['polri', 'buka', 'rekrutmen', 'khusus', 'ahli', 'bidang', 'tani', 'gizi', 'sehat', 'masyarakat', 'kuat', 'peran', 'polri', 'dukung', 'program', 'makan', 'gizi', 'gratis', 'wujud', 'swasembada', 'pangan', 'maksimal', 'layan', 'masyarakat']",11,positive
Sat Feb 08 06:04:19 +0000 2025,terus fokus untuk meningkatkan produktivitas peternak lokal  dengan dukungan penuh terhadap program makan bergizi gratis mbg kementan berkomitmen menyediakan protein hewani berkualitas untuk mendukung kesehatan masyarakat terutama anakanak,"['fokus', 'tingkat', 'produktivitas', 'ternak', 'lokal', 'dukung', 'penuh', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'tan', 'komitmen', 'sedia', 'protein', 'hewani', 'kualitas', 'dukung', 'sehat', 'masyarakat', 'anakanak']",19,positive
Sat Feb 08 11:05:02 +0000 2025,program makan bergizi gratis dapat mnedukung terwujudnya ketahanan pangan sebagai upaya untuk memenuhi kebutuhan pangan di masyarakat papua,"['program', 'makan', 'gizi', 'gratis', 'mnedukung', 'wujud', 'tahan', 'pangan', 'upaya', 'penuh', 'butuh', 'pangan', 'masyarakat', 'papua']",-7,negative
Fri Feb 07 14:01:05 +0000 2025,fresh   program makan bergizi gratis berikan efek domino pada perekonomian nasional,"['fresh', 'program', 'makan', 'gizi', 'gratis', 'efek', 'domino', 'ekonomi', 'nasional']",1,positive
Mon Feb 03 02:05:50 +0000 2025,karna banyak kekacauan program makan siang bergizi gratis kayanya perlu dikaji ulang deh soal program peremintah ini jaman gue sekolah sd tahun an seinget gue bukan makan siang bergizi gratis tp lebih tepatnya makanan bergizi gratis itu pun tidak setiap hari kita dapat,"['karna', 'kacau', 'program', 'makan', 'siang', 'gizi', 'gratis', 'kaya', 'kaji', 'ulang', '', 'program', 'peremintah', 'jaman', 'sekolah', 'sd', 'an', 'seinget', 'makan', 'siang', 'gizi', 'gratis', 'makan', 'gizi', 'gratis']",5,positive
Tue Feb 04 11:57:28 +0000 2025,anakanak keracunan makan bergizi gratis emakemak meninggal kecapekan antre gas lpg kg pejabatnya masih tetep eksis pake fasilitas yg dibayar anak amp ibu yg terdampak dari kebijakan ngawur itu,"['anakanak', 'racun', 'makan', 'gizi', 'gratis', 'emakemak', 'tinggal', 'cape', 'antre', 'gas', 'lpg', 'kg', 'jabat', 'tetep', 'eks', 'pake', 'fasilitas', 'bayar', 'anak', 'amp', 'dampak', 'bijak', 'ngawur']",-24,negative
Mon Feb 10 11:19:18 +0000 2025,pendidikan gratis bukan makan gratis  siswa di papua demo tolak makan gratis yang kami butuhkan itu pendidikan gratis‼️      🆘🆗,"['didik', 'gratis', 'makan', 'gratis', 'siswa', 'papua', 'demo', 'tolak', 'makan', 'gratis', 'butuh', 'didik', 'gratis', '']",-9,negative
Mon Jan 06 04:32:20 +0000 2025,menu makan bergizi gratis mbg terdiri dari nasi putih sayur buncis tumis tempe goreng  potong satu potong nugget ikan dan satu buah pisang putri tanpa air minum atau susu  susu cuma untuk masa kampanye dan uji coba wapres 🤣🤣🤣  anjir ppn  buat ginian,"['menu', 'makan', 'gizi', 'gratis', 'mbg', 'nasi', 'putih', 'sayur', 'buncis', 'tumis', 'tempe', 'goreng', 'potong', 'potong', 'nugget', 'ikan', 'buah', 'pisang', 'putri', 'air', 'minum', 'susu', 'susu', 'kampanye', 'uji', 'coba', 'wapres', '', 'anjir', 'ppn', 'ginian']",-17,negative
Mon Feb 10 11:42:29 +0000 2025,pagi tadi saya berkunjung ke sd pandu cerme untuk meninjau program makan bergizi gratis melihat anakanak menikmati hidangan sehat dengan penuh semangat benarbenar menghangatkan hati semoga program ini terus berjalan dan membawa manfaat bagi tumbuh kembang mereka,"['pagi', 'kunjung', 'sd', 'pandu', 'cerme', 'tinjau', 'program', 'makan', 'gizi', 'gratis', 'anakanak', 'nikmat', 'hidang', 'sehat', 'penuh', 'semangat', 'benarbenar', 'hangat', 'hati', 'moga', 'program', 'jalan', 'bawa', 'manfaat', 'tumbuh', 'kembang']",20,positive
Tue Feb 04 01:26:18 +0000 2025,makan gratisnya kakak gasnya gak ada soalnya dibatasin untuk makan gratis ☺️👍🏻  mereka yang mengadakan makan gratis untuk rakyat tapi selalu menyusahkan rakyat  katanya bertugas untuk rakyat tapi rakyat selalu di pukul terus,"['makan', 'gratis', 'kakak', 'gas', 'gak', 'dibatasin', 'makan', 'gratis', '', 'makan', 'gratis', 'rakyat', 'susah', 'rakyat', 'tugas', 'rakyat', 'rakyat']",-8,negative
Wed Feb 05 05:39:02 +0000 2025,keseriusan pemerintah dalam menjalankan program makan bergizi gratis,"['serius', 'perintah', 'jalan', 'program', 'makan', 'gizi', 'gratis']",-5,negative
Wed Jan 22 08:50:21 +0000 2025,dulu anies bikin program makan gratis melibatkan kantin amp komite sekolah   gak ada yang tersingkir,"['anies', 'bikin', 'program', 'makan', 'gratis', 'libat', 'kantin', 'amp', 'komite', 'sekolah', 'gak', 'singkir']",-6,negative
Mon Feb 03 16:02:59 +0000 2025,presiden ri prabowo subianto berkunjung ke sekolah tersebut untuk meninjau langsung program makan bergizi gratis mbg kedatangan prabowo ini disambut antusias oleh seluruh siswa,"['presiden', 'ri', 'prabowo', 'subianto', 'kunjung', 'sekolah', 'tinjau', 'langsung', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'prabowo', 'sambut', 'antusias', 'siswa']",14,positive
Sun Feb 09 16:08:35 +0000 2025,program makan bergizi gratis wujudkan generasi indonesia emas,"['program', 'makan', 'gizi', 'gratis', 'wujud', 'generasi', 'indonesia', 'emas']",-1,negative
Sun Feb 09 20:19:43 +0000 2025,program makan bergizi gratis mendukung percepatan perkembangan ekonomi negara,"['program', 'makan', 'gizi', 'gratis', 'dukung', 'cepat', 'kembang', 'ekonomi', 'negara']",7,positive
Mon Feb 10 09:09:37 +0000 2025,presiden prabowo subianto mengunjungi sdn kedung jaya  bogor kota bogor jawa barat  kunjungannya tersebut untuk meninjau langsung pelaksanaan program makan bergizi gratis mbg   prabowo disambut antusias anakanak sdn kedung jaya  bogor  simak video selengkapnya hanya di,"['presiden', 'prabowo', 'subianto', 'unjung', 'sdn', 'kedung', 'jaya', 'bogor', 'kota', 'bogor', 'jawa', 'barat', 'kunjung', 'tinjau', 'langsung', 'laksana', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'prabowo', 'sambut', 'antusias', 'anakanak', 'sdn', 'kedung', 'jaya', 'bogor', 'simak', 'video', 'lengkap']",6,positive
Fri Feb 07 11:46:34 +0000 2025,sosialisasi ckg cek kesehatan gratis programnya menkes nih otw di launching presiden hari senin ini  liat komen nakes berikut sedikit menghibur disaat kepusingan program gaje   makan gratis yg dikorbankan duit rakyat cek kesehatan gratis yg dikorbankan tenaga nakes wkwkk,"['sosialisasi', 'ckg', 'cek', 'sehat', 'gratis', 'program', 'menkes', 'otw', 'launching', 'presiden', 'senin', 'liat', 'komen', 'nakes', 'hibur', 'pusing', 'program', 'gaje', 'makan', 'gratis', 'korban', 'duit', 'rakyat', 'cek', 'sehat', 'gratis', 'korban', 'tenaga', 'nakes', 'wkwkk']",-10,negative
Mon Feb 03 23:47:18 +0000 2025,bensin pertamina jelek masyarakat pindah ke swasta eh malah dilangkain  gas melon langka gas ungu dkk yg nonsubidi mana mampu masyarakat mahal banget cok  laut punya hgb sekarang  makan bergizi gratis banyak korban sama motongin anggaran,"['bensin', 'pertamina', 'jelek', 'masyarakat', 'pindah', 'swasta', 'eh', 'dilangkain', 'gas', 'melon', 'langka', 'gas', 'ungu', 'dkk', 'nonsubidi', 'masyarakat', 'mahal', 'banget', 'cok', 'laut', 'hgb', 'makan', 'gizi', 'gratis', 'korban', 'motongin', 'anggar']",-19,negative
Mon Feb 10 07:12:56 +0000 2025,ketahanan pangan bukan hanya tanggung jawab pemerintah tapi juga kita semua kapolri jenderal polisi drs listyo sigit prabowo m si mendukung penuh langkah strategis pemerintah dalam mewujudkan swasembada pangan dan memberikan makan bergizi gratis demi masa depan yang lebih,"['tahan', 'pangan', 'tanggung', 'perintah', 'kapolri', 'jenderal', 'polisi', 'drs', 'listyo', 'sigit', 'prabowo', 'm', '', 'dukung', 'penuh', 'langkah', 'strategis', 'perintah', 'wujud', 'swasembada', 'pangan', 'makan', 'gizi', 'gratis']",7,positive
Mon Feb 03 11:05:18 +0000 2025,program makan bergizi gratis dorong ekonomi tumbuh di atas  persen,"['program', 'makan', 'gizi', 'gratis', 'dorong', 'ekonomi', 'tumbuh', 'persen']",2,positive
Mon Feb 10 03:56:15 +0000 2025,makan bergizi gratis adalah program yang mengedepankan peningkatan kualitas sdm indonesia sekaligus mendukung percepatan perkembangan ekonomi negara,"['makan', 'gizi', 'gratis', 'program', 'tingkat', 'kualitas', 'sdm', 'indonesia', 'dukung', 'cepat', 'kembang', 'ekonomi', 'negara']",12,positive
Thu Feb 06 10:36:47 +0000 2025,program makan bergizi gratis di papua demi anak anak di papua lebih sehat sejahtera dan pintar,"['program', 'makan', 'gizi', 'gratis', 'papua', 'anak', 'anak', 'papua', 'sehat', 'sejahtera', 'pintar']",3,positive
